symbol,current_price,total_score,avg_volume_10d,trend1_pass,trend1_current,trend1_threshold,trend1_description,trend2_pass,trend2_current,trend2_threshold,trend2_description,snapback_pass,snapback_current,snapback_threshold,snapback_description,momentum_pass,momentum_current,momentum_threshold,momentum_description,stabilizing_pass,stabilizing_current,stabilizing_threshold,stabilizing_description,calculation_timestamp,data_age_hours
REG,71.76,2,"938,880",false,71.76,72.04,Price ($71.76) is below the 20-day EMA ($72.04),false,71.76,72.38,Price ($71.76) is below the 100-day EMA ($72.38),true,46.2,50.0,RSI (46.3) is below the threshold (50),false,71.76,72.15,Current price ($71.76) is below last week's close ($72.15),true,0.96,1.01,3-day ATR (0.96) is lower than 6-day ATR (1.01),2025-06-04T19:39:29,0
OMC,71.42,1,"3,320,244",false,71.42,74.00,Price ($71.42) is below the 20-day EMA ($74.00),false,71.42,79.74,Price ($71.42) is below the 100-day EMA ($79.74),true,40.2,50.0,RSI (40.2) is below the threshold (50),false,71.42,73.44,Current price ($71.42) is below last week's close ($73.44),false,2.29,1.86,3-day ATR (2.29) is higher than 6-day ATR (1.86),2025-06-04T19:39:35,0
AKAM,76.87,1,"1,870,122",false,76.87,77.38,Price ($76.87) is below the 20-day EMA ($77.38),false,76.87,81.97,Price ($76.87) is below the 100-day EMA ($81.97),false,50.2,50.0,RSI (50.2) is above the threshold (50),true,76.87,75.93,Current price ($76.87) is above last week's close ($75.93),false,1.57,1.55,3-day ATR (1.57) is higher than 6-day ATR (1.55),2025-06-04T19:39:39,0
RVTY,92.63,2,"1,160,116",true,92.63,92.09,Price ($92.63) is above the 20-day EMA ($92.09),false,92.63,101.36,Price ($92.63) is below the 100-day EMA ($101.36),false,55.3,50.0,RSI (55.3) is above the threshold (50),true,92.63,90.42,Current price ($92.63) is above last week's close ($90.42),false,2.64,2.31,3-day ATR (2.64) is higher than 6-day ATR (2.31),2025-06-04T19:39:44,0
CAG,22.54,2,"6,432,956",false,22.54,23.00,Price ($22.54) is below the 20-day EMA ($23.00),false,22.54,24.77,Price ($22.54) is below the 100-day EMA ($24.77),true,45.3,50.0,RSI (45.3) is below the threshold (50),false,22.54,22.89,Current price ($22.54) is below last week's close ($22.89),true,0.39,0.42,3-day ATR (0.39) is lower than 6-day ATR (0.42),2025-06-04T19:39:50,0
SWK,65.92,1,"2,948,643",false,65.92,66.00,Price ($65.92) is below the 20-day EMA ($66.00),false,65.92,72.43,Price ($65.92) is below the 100-day EMA ($72.43),false,50.6,50.0,RSI (50.6) is above the threshold (50),true,65.92,65.43,Current price ($65.92) is above last week's close ($65.43),false,2.30,2.25,3-day ATR (2.30) is higher than 6-day ATR (2.25),2025-06-04T19:39:51,0
ETN,328.11,3,"1,852,682",true,328.11,318.76,Price ($328.11) is above the 20-day EMA ($318.76),true,328.11,310.20,Price ($328.11) is above the 100-day EMA ($310.20),false,59.5,50.0,RSI (59.5) is above the threshold (50),true,328.11,320.20,Current price ($328.11) is above last week's close ($320.20),false,7.08,6.96,3-day ATR (7.08) is higher than 6-day ATR (6.97),2025-06-04T19:28:43,0
PM,180.46,2,"5,351,385",true,180.46,175.51,Price ($180.46) is above the 20-day EMA ($175.51),true,180.46,158.02,Price ($180.46) is above the 100-day EMA ($158.02),false,63.6,50.0,RSI (63.6) is above the threshold (50),false,180.46,180.59,Current price ($180.46) is below last week's close ($180.59),false,4.06,3.56,3-day ATR (4.06) is higher than 6-day ATR (3.56),2025-06-04T19:28:44,0
WMB,60.48,2,"8,808,619",true,60.48,59.54,Price ($60.48) is above the 20-day EMA ($59.54),true,60.48,58.15,Price ($60.48) is above the 100-day EMA ($58.15),false,57.9,50.0,RSI (57.9) is above the threshold (50),false,60.48,60.51,Current price ($60.48) is below last week's close ($60.51),false,1.11,1.03,3-day ATR (1.11) is higher than 6-day ATR (1.03),2025-06-04T19:28:46,0
ADI,219.02,3,"5,104,994",true,219.02,214.02,Price ($219.02) is above the 20-day EMA ($214.02),true,219.02,208.11,Price ($219.02) is above the 100-day EMA ($208.11),false,57.1,50.0,RSI (57.1) is above the threshold (50),true,219.02,213.98,Current price ($219.02) is above last week's close ($213.98),false,4.56,4.33,3-day ATR (4.56) is higher than 6-day ATR (4.33),2025-06-04T19:28:47,0
CVS,64.00,3,"8,140,804",true,64.00,63.44,Price ($64.00) is above the 20-day EMA ($63.44),true,64.00,62.65,Price ($64.00) is above the 100-day EMA ($62.65),false,57.5,50.0,RSI (57.4) is above the threshold (50),false,64.00,64.04,Current price ($64.00) is below last week's close ($64.04),true,1.10,1.50,3-day ATR (1.10) is lower than 6-day ATR (1.50),2025-06-04T19:28:48,0
T,27.59,2,"29,621,727",true,27.59,27.54,Price ($27.59) is above the 20-day EMA ($27.54),true,27.59,26.40,Price ($27.59) is above the 100-day EMA ($26.40),false,52.0,50.0,RSI (52.0) is above the threshold (50),false,27.59,27.80,Current price ($27.59) is below last week's close ($27.80),false,0.41,0.37,3-day ATR (0.41) is higher than 6-day ATR (0.37),2025-06-04T19:28:48,0
MO,59.51,2,"6,384,044",true,59.51,59.43,Price ($59.51) is above the 20-day EMA ($59.43),true,59.51,57.45,Price ($59.51) is above the 100-day EMA ($57.45),false,50.0,50.0,RSI (50.0) is above the threshold (50),false,59.51,60.61,Current price ($59.51) is below last week's close ($60.61),false,0.83,0.78,3-day ATR (0.83) is higher than 6-day ATR (0.78),2025-06-04T19:28:50,0
PFE,23.41,2,"35,601,970",true,23.41,23.24,Price ($23.41) is above the 20-day EMA ($23.24),false,23.41,24.19,Price ($23.41) is below the 100-day EMA ($24.19),false,56.3,50.0,RSI (56.3) is above the threshold (50),false,23.41,23.49,Current price ($23.41) is below last week's close ($23.49),true,0.34,0.38,3-day ATR (0.34) is lower than 6-day ATR (0.38),2025-06-04T19:28:53,0
PFG,76.69,1,"993,733",false,76.69,77.97,Price ($76.69) is below the 20-day EMA ($77.97),false,76.69,79.75,Price ($76.69) is below the 100-day EMA ($79.75),true,42.2,50.0,RSI (42.2) is below the threshold (50),false,76.69,77.89,Current price ($76.69) is below last week's close ($77.89),false,1.63,1.44,3-day ATR (1.63) is higher than 6-day ATR (1.44),2025-06-04T19:38:54,0
MNST,63.32,2,"5,316,688",true,63.32,62.59,Price ($63.32) is above the 20-day EMA ($62.59),true,63.32,57.78,Price ($63.32) is above the 100-day EMA ($57.78),false,58.2,50.0,RSI (58.2) is above the threshold (50),false,63.32,63.95,Current price ($63.32) is below last week's close ($63.95),false,1.09,1.03,3-day ATR (1.09) is higher than 6-day ATR (1.03),2025-06-04T19:31:34,0
